orth_group,num,B,X0.5,X1,X1.5,X2,X3,X4,X6,X8
95,1,0.191237405,0.395828179,0.569629915,0.647662499,0.614101848,0.340409156,0.408481844,0.56278877,0.593093292
95,2,0.2099769,0.5640223,1.637111796,1.228526507,1.07723125,0.844887516,0.68926749,0.565545367,0.487721748
96,1,0.087773709,0.106759249,0.078957211,0.077873275,0.064710088,0.074786224,0.076407879,0.059758626,0.061836544
96,2,0.134961639,0.194644568,0.853419691,0.600378774,0.49278357,0.452599618,0.610282365,0.671190985,0.741918024
96,3,0.191605609,0.02770736,0.205775931,0.313987007,0.262293778,0.286250534,0.320943075,0.333586925,0.352953758
97,1,0.09133916,0.084524085,0.121280449,0.134015911,0.151417279,0.136501793,0.133419823,0.128126104,0.125225322
98,1,0.265478287,0.348348395,0.414391534,0.505169842,0.537999985,0.395115814,0.330846656,0.265160839,0.235222376
98,2,0.320733109,0.270310486,0.220492112,0.139435098,0.143002084,0.187924873,0.210336951,0.206388034,0.175511068
98,3,0.354163438,0.246817079,0.458432685,0.482403325,0.430948164,0.432700015,0.394395527,0.33644972,0.263457772
99,1,0.106882702,0.137465232,0.099372079,0.128938865,0.110869906,0.133056164,0.139794263,0.140392514,0.12171205
99,2,0.063600903,0.081880743,0.063756073,0.042424576,0.047889,0.063213605,0.065502935,0.053227188,0.044565661
99,3,0.144470626,0.123377976,0.160990182,0.206463375,0.30948715,0.250609214,0.238789227,0.19737813,0.159196429
100,1,0.142463774,0.166643785,0.180728573,0.173113479,0.179406064,0.216937712,0.24960779,0.236691147,0.205548839
100,2,0.169925482,0.105998195,0.1435744,0.153187507,0.187083863,0.142984115,0.135879727,0.112611534,0.106122329
101,1,0.117612751,0.053109105,0.210392945,0.256262379,0.153688507,0.10858267,0.14317141,0.110197067,0.130678834
101,2,0.191570582,0.292995821,0.176802035,0.184785202,0.202517403,0.279982259,0.274551372,0.269927146,0.272045656
101,3,0.161429359,0.17529402,0.189186339,0.208887836,0.255293517,0.307640668,0.332072864,0.362947138,0.329151144
101,4,0.222059345,0.036358964,0.068561274,0.112082588,0.143253066,0.158308089,0.185002425,0.194920952,0.216916023
102,1,0.069769638,0.043694049,0.048145555,0.080026536,0.059736191,0.052335336,0.046344532,0.035058827,0.024927357
102,2,0.121142405,0.142918087,0.093925737,0.074591681,0.06416229,0.118164023,0.115883478,0.104973225,0.078620875
102,3,0.122574427,0.10915483,0.160671907,0.212290681,0.254206447,0.190777826,0.184971963,0.193369063,0.177625564
102,4,0.116873191,0.139579168,0.13989102,0.122624413,0.135372792,0.118742967,0.101660312,0.067317646,0.070571575
103,1,0.025641679,0.034766758,0.036787349,0.034017242,0.0315332,0.05635879,0.076781337,0.136945434,0.203762785
103,2,0.321194025,0.137956008,0.326085322,0.32536554,0.192889105,0.147605358,0.242913068,0.38017679,0.50690004
103,3,0.211209406,0.18789921,0.029522199,0.041027084,0.064167338,0.12063666,0.153894895,0.172031602,0.184215969
103,4,0.145739968,0.34845465,0.043904104,0.067234825,0.117046901,0.150652354,0.158969781,0.199806899,0.219646107
104,1,2.044030933,1.544489777,2.722300059,2.632122653,4.032204513,2.959459831,2.781400287,1.853567304,1.728968706
104,2,1.418657684,1.160653095,0.828692207,0.347596743,0.509608651,0.686576959,0.804091998,0.777630048,0.583787197
104,3,0.98858277,1.510579387,1.16325982,1.669534196,1.803075793,1.70143613,1.500317085,1.422638779,1.078195185
